"","google_knowledge_occupation","group","year","month","day","imie","nazwisko"
"300","actor","Acting",2000,7,13,"Billy","Crudup"
"301","actor","Acting",2000,7,17,"Shawn","Wayans & Marlon Wayans"
"302","actor","Acting",2000,7,17,"Shawn","Wayans & Marlon Wayans"
"303","actress","Acting",2000,7,18,"Halle","Berry"
"304",NA,NA,2000,7,19,"Fourth","Anniversary Special"
"305","television personality","Media",2000,7,20,"Al","Roker"
"306","actor","Acting",2000,7,24,"Peter","Fonda"
"307","writer","Media",2000,7,25,"Joe","Eszterhas"
"308","actress","Acting",2000,7,26,"Jennifer","Beals"
"309",NA,NA,2000,7,31,"Campaign","Trail to the Road to the White House Mo Rocca, Vance DeGeneres"
"310","american politician","Politician",2000,8,1,"Bob","Dole"
"311","former governor of nebraska","Politician",2000,8,15,"Bob","Kerrey"
"312","actor","Acting",2000,8,16,"William","Baldwin"
"313","american politician","Politician",2000,8,18,"Bob","Dole"
"314","former u.s. representative","Politician",2000,8,2,"Mary","Bono"
"315","actor","Acting",2000,8,22,"Jeremy","Piven"
"316","musician","Musician",2000,8,23,"Slash",NA
"317","actor","Acting",2000,8,24,"Vincent","D'Onofrio"
"318","american politician","Politician",2000,8,3,"Bob","Dole"
"319","former united states secretary of labor","Politician",2000,8,4,"Robert","Reich and Ben Stein"
"320","writer","Media",2000,8,4,"Robert","Reich and Ben Stein"
"321","actor","Acting",2000,9,11,"Joe","Mantegna"
"322","actor","Acting",2000,9,12,"Eugene","Levy"
"323","boxer","Athletics",2000,9,13,"Lennox","Lewis"
"324","former us senator","Politician",2000,9,14,"Joe","Lieberman"
"325","actor","Acting",2000,9,18,"Ryan","Phillippe"
"326","actress","Acting",2000,9,19,"Jamie","Lee Curtis"
"327","rock band","Musician",2000,9,20,"Barenaked","Ladies"
"328","actor","Acting",2000,9,21,"Jamie","Foxx"
"329","comedian","Comedy",2000,9,25,"Jonathan","Katz"
"330","actor","Acting",2000,9,26,"Bill","Goldberg"
"331","actor","Acting",2000,9,27,"Sylvester","Stallone"
"332","actor","Acting",2000,9,28,"Tony","Danza"
"333","film actor","Acting",2000,9,5,"Donal","Logue"
"334","actor","Acting",2000,9,6,"Greg","Kinnear"
"335","band","Musician",2000,9,7,"Spinal","Tap"
"336","singer","Musician",2001,1,10,"Vitamin","C"
"337","actress","Acting",2001,1,11,"Julia","Stiles"
"338","actor","Acting",2001,1,15,"Willem","Dafoe"
"339","actor","Acting",2001,1,16,"Tim","Robbins"
"340","reporter","Media",2001,1,17,"Sam","Donaldson"
"341","actress","Acting",2001,1,18,"Lynn","Whitfield"
"342","television host","Media",2001,1,22,"Bill","O'Reilly"
"343","actor","Acting",2001,1,23,"Matthew","McConaughey"
"344","american football quarterback","Athletics",2001,1,24,"Terry","Bradshaw"
"345","actor","Acting",2001,1,25,"Topher","Grace"
"346","actor","Acting",2001,1,29,"David","Boreanaz"
"347","film actress","Acting",2001,1,30,"Dyan","Cannon"
"348","actor","Acting",2001,1,31,"James","van der Beek"
"349","comedian","Comedy",2001,1,9,"Richard","Lewis"
"350","actor","Acting",2001,10,1,"Kelsey","Grammer"
"351","actor","Acting",2001,10,10,"Jeremy","Piven"
